product_code,fragrance,supplier_code,unit,before_ml,counted_ml,after_ml,change_ml,before_L,counted_L,after_L,change_L,technician_stock_cleared_ml,status
"FRAG_0079","JM Jasmin & Mint","SFA1367",mL,0,0,0,0,0.0,0.0,0.0,0.0,0,"held for recount"
"FRAG_0080","Japanese Honeysuckle","",mL,7000,7000,7000,0,7.0,7.0,7.0,0.0,0,"held for recount"
"FRAG_0082","JPG Le Beau","FIA250842",mL,1000,1000,1000,0,1.0,1.0,1.0,0.0,0,"held for recount"
"FRAG_0094","Myrrh & Tonka","LUX1423",mL,260800,126000,260800,0,260.8,126.0,260.8,0.0,0,"held for recount"
"FRAG_0097","Milagrito","LUX0710",mL,217100,85000,217100,0,217.1,85.0,217.1,0.0,0,"held for recount"
"FRAG_0098","Matiere Noire","FH20376949",mL,20000,20000,20000,0,20.0,20.0,20.0,0.0,0,"held for recount"
"FRAG_0100","Moonlight Patchouli","FIA250555",mL,6000,6000,6000,0,6.0,6.0,6.0,0.0,0,"held for recount"
"FRAG_0144","Sandalwood Fig & Jasmine","FIA243579",mL,3000,3000,3000,0,3.0,3.0,3.0,0.0,0,"held for recount"
"FRAG_0155","The Star Lobby","FIA250836",mL,10000,10000,10000,0,10.0,10.0,10.0,0.0,0,"held for recount"
"FRAG_0169","Wonderwood","FIA222036",mL,10000,10000,10000,0,10.0,10.0,10.0,0.0,0,"held for recount"
"FRAG_0170","ZWT","FIA223912",mL,27000,27000,27000,0,27.0,27.0,27.0,0.0,0,"held for recount"
